msa_code,metro_name,pew_total,national_only,raw_dial,shrunk_dial,random_pairing,observed_2020_24,corrected_national_only,corrected_shrunk_dial,corrected_raw_dial
10420,"Akron, OH",0.12,0.14880644112361596,0.1388987282858689,0.14091095347045654,0.40676299763122176,0.14063079089346706,0.10807549060271701,0.1023411373366911,0.10087969371647312
10580,"Albany-Schenectady-Troy, NY",0.14,0.16118663690987592,0.16801394945522852,0.16836093763329654,0.41080833157467306,0.1896547332188637,0.11706700819600613,0.12227757612949364,0.12202556474278968
10740,"Albuquerque, NM",0.28,0.23098897262691134,0.33622644258164575,0.33250397600163784,0.6195850059076528,0.3241025520480946,0.16776321207583214,0.24149176650141652,0.2441953282481313
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.17,0.18831395681203048,0.19386536427764448,0.19490474440873196,0.5135006484388743,0.2040468217179511,0.13676910163379427,0.14155587428686844,0.14080099085076314
11260,"Anchorage, AK",0.28,0.2725662147603621,0.3560785973493838,0.3519686766315072,0.6084755631158781,0.3215192420343766,0.19796002887724892,0.2556286348662785,0.2586135977117631
11700,"Asheville, NC",0.03,0.13503907776118423,0.13957033191917126,0.1405982291845312,0.31950734846280315,0.16759230328846933,0.09807649769309795,0.10211401120982748,0.10136746757633865
12060,"Atlanta-Sandy Springs-Roswell, GA",0.14,0.20951344655299783,0.1932684616376186,0.19355906504785342,0.6871367859186285,0.18928289118374944,0.15216591669759263,0.14057853112871788,0.14036747100326363
12260,"Augusta-Richmond County, GA-SC",0.13,0.1815370339587228,0.16475460821179883,0.16782012975767083,0.618544142100274,0.18090490923259447,0.13184714223057492,0.12188479691887125,0.11965836275028513
12420,"Austin-Round Rock, TX",0.21,0.2164303374871597,0.2875237608728858,0.28651399930397314,0.6326856950607196,0.31163323312446717,0.1571895324464165,0.20809005850492832,0.20882343050232288
12540,"Bakersfield, CA",0.17,0.2072832983748989,0.21485840458855782,0.21572452640033368,0.5814224253117054,0.20163641797481752,0.15054619945521483,0.15667691431708303,0.15604786533894352
12580,"Baltimore-Columbia-Towson, MD",0.15,0.19297378968172502,0.1966832656075807,0.19699776716500314,0.6347005895458279,0.20712394046693727,0.14015345596493875,0.1430759997566977,0.14284758282892834
12940,"Baton Rouge, LA",0.08,0.17361963524756233,0.13820614846180823,0.14331068280454826,0.6145017284794615,0.1387032715420096,0.1260968753500226,0.10408401837824659,0.10037668521965193
13140,"Beaumont-Port Arthur, TX",0.11,0.19806413128958694,0.17873728657154914,0.18399117416339344,0.642962185110222,0.17796770299184392,0.14385048119080307,0.1336295409266589,0.12981373514048056
13820,"Birmingham-Hoover, AL",0.06,0.15157587882962636,0.12195177144164554,0.12404433134850287,0.5776289508204129,0.13200294466416854,0.11008688430658294,0.09009120751593491,0.08857141820546205
14260,"Boise City, ID",0.23,0.16357431846789042,0.2125979372932324,0.2103800115023174,0.39488847924205633,0.2408235038258953,0.11880113915053322,0.15279528751870533,0.15440612785709118
14460,"Boston-Cambridge-Newton, MA-NH",0.14,0.19566529294832022,0.18909325227547844,0.18944399761466627,0.537221816961686,0.19003267193537762,0.14210824726160345,0.13758983031478259,0.13733509016830028
14860,"Bridgeport-Stamford-Norwalk, CT",0.15,0.20695146269485964,0.20455701288237635,0.20560196468477004,0.6344802481886581,0.20865436516565267,0.1503051930602703,0.14932507648462648,0.14856614644203459
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.16,0.15498713585893456,0.144022078973351,0.14533871937981657,0.4332662005693822,0.15735487969098744,0.11256442005188168,0.10555694553232253,0.10460069285399984
15980,"Cape Coral-Fort Myers, FL",0.11,0.19680473727941536,0.18950446661945705,0.1909863742595932,0.5737128426329264,0.1914921556917086,0.14293580555926674,0.1387100312371081,0.1376337478852162
16860,"Chattanooga, TN-GA",0.05,0.14879928076419088,0.14561414199015277,0.14736222871201987,0.42353536862026964,0.16650370247293575,0.10807029016010233,0.10702658462970123,0.10575698011086902
16700,"Charleston-North Charleston, SC",0.13,0.16203525511900557,0.16286425304451102,0.1635095047374345,0.5440422449884919,0.1824658821866855,0.11768334461661777,0.11875406608256706,0.11828543117168301
16740,"Charlotte-Concord-Gastonia, NC-SC",0.16,0.19261730766610877,0.17136020452305145,0.17206108883334936,0.6225326301122859,0.17601994686862185,0.1398945493716632,0.12496493060978621,0.12445589071124936
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0.19,0.20434763607382517,0.21368685220813363,0.2137759288043952,0.6749068623572698,0.21454090296587308,0.148414079763105,0.15526168229098156,0.1551969875320081
17140,"Cincinnati, OH-KY-IN",0.09,0.1441981375374221,0.1405016046798838,0.1410188285116368,0.4021301718457506,0.15933275129084645,0.10472856108028843,0.10241948507427096,0.1020438345382724
17300,"Clarksville, TN-KY",0.21,0.19762407318423156,0.2569218027601812,0.2534381409696822,0.5533737035362211,0.28309737579483624,0.1435308747593148,0.18406764664162123,0.1865977686864684
17820,"Colorado Springs, CO",0.18,0.20979815235733043,0.29648872594560766,0.2925481770111697,0.5130534108937936,0.3147408207334636,0.15237269349601848,0.21247257522372745,0.21533452633362338
17900,"Columbia, SC",0.12,0.1696343720560523,0.14895851418287834,0.1509397601692122,0.609516406400917,0.16388082659642697,0.12320244906476792,0.1096248825559417,0.10818593858039281
18140,"Columbus, OH",0.11,0.1678538900337948,0.1643238059024982,0.16480745731219498,0.48733349355904987,0.17837625864781623,0.12190931641128994,0.11969674611870722,0.11934547864003503
18580,"Corpus Christi, TX",0.22,0.18549248643456098,0.2275828879909607,0.2256156818598035,0.5054383857164634,0.247189027994281,0.13471991751942697,0.16386068587185004,0.1652894329484962
19100,"Dallas-Fort Worth-Arlington, TX",0.19,0.21527817612256228,0.22296543501485014,0.223110837484728,0.7006116479248496,0.23125745254198307,0.15635273799187457,0.16204146163212202,0.16193585838572866
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.15,0.18476872529731078,0.19184472778568776,0.1926839833603376,0.5090550786845509,0.19942254907127693,0.13419426258542771,0.1399429747510396,0.13933343824652766
19740,"Denver-Aurora-Lakewood, CO",0.22,0.19777469122951896,0.2521052724686396,0.251679601270299,0.544599398972845,0.27496800301022484,0.14364026598603286,0.18279045030979502,0.1830996077847587
19780,"Des Moines-West Des Moines, IA",0.11,0.15053112825127124,0.14111767988242405,0.14428183599401997,0.38128341132525295,0.1538528190918206,0.1093281004094571,0.10478934979138992,0.10249127907938198
19820,"Detroit-Warren-Dearborn, MI",0.1,0.16911412410859558,0.15817587318504764,0.15881373575454202,0.5557458703529289,0.17416692532734573,0.1228246021669328,0.11534361198695744,0.11488034366594474
21340,"El Paso, TX",0.22,0.1279179769573536,0.1406602955769325,0.14010050709472407,0.2825838968681654,0.17953555794102152,0.09290456792181834,0.10175252444464755,0.10215908893467636
21660,"Eugene, OR",0.23,0.17369639676328916,0.23013564669715839,0.22353900678598318,0.35948675896454374,0.26031134175242304,0.12615262588346013,0.1623524334351217,0.1671434565208595
22180,"Fayetteville, NC",0.29,0.2285771245516288,0.2802016303034297,0.27932758122591167,0.6824874447999438,0.2924764220246028,0.16601152940653932,0.20287068995073024,0.20350549636200072
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.17,0.26204776633202415,0.22202062849183943,0.22770465977875048,0.5883925643144071,0.2135695150065471,0.19032066551576882,0.16537787364775344,0.1612496620912134
23060,"Fort Wayne, IN",0.15,0.1714680026338168,0.17898862608600238,0.17978258679353015,0.4530263562708632,0.20381814102710144,0.12453418257562729,0.1305729182340664,0.1299962785917403
23420,"Fresno, CA",0.23,0.2103877748395539,0.25477210340582446,0.25416990085490326,0.6085899605388754,0.2552410466765576,0.15280092589345723,0.1845991109250319,0.18503648000423023
23540,"Gainesville, FL",0.22,0.19620236213597317,0.24703839486881934,0.24422623138081093,0.5761584972357159,0.257145285550634,0.142498311129168,0.17737719936872334,0.1794196240536137
24340,"Grand Rapids-Wyoming, MI",0.16,0.17040417469547134,0.19093525641476655,0.19076718381668692,0.4210320565884011,0.20752995504547608,0.12376154312880353,0.138550837088833,0.13867290524903608
24660,"Greensboro-High Point, NC",0.09,0.19457592433212906,0.18354600653810352,0.1854917171225014,0.6256304380804226,0.18485566398639727,0.14131705807145098,0.1347193587816624,0.13330622354106475
24860,"Greenville-Anderson-Mauldin, SC",0.06,0.18472817430675903,0.18413859694646179,0.18512000669314232,0.5183477053741031,0.18421102155390354,0.13416481111702883,0.1344493920603848,0.13373661149084834
25420,"Harrisburg-Carlisle, PA",0.16,0.16963468205950594,0.18394547066674075,0.18444648422274873,0.4581919881315266,0.19647850015948112,0.12320267421480233,0.13396022458302223,0.13359634728406047
25540,"Hartford-West Hartford-East Hartford, CT",0.17,0.19689879553311734,0.19947526719181172,0.20014597447305807,0.5750776122956032,0.2079907010791586,0.14300411840807434,0.14536248713431363,0.14487536427911882
25860,"Hickory-Lenoir-Morganton, NC",0.1,0.1448185972149076,0.13301170043430888,0.1373966912289682,0.3799067739295275,0.1550552036531614,0.10517918998813082,0.09978879072462511,0.09660404933948898
46520,"Honolulu, HI",0.42,0.26543074257914007,0.4568145172862014,0.4529712906348351,0.7505499197718702,0.4449341548686073,0.19277766142833597,0.32898504993905414,0.33177631759324666
26420,"Houston-The Woodlands-Sugar Land, TX",0.19,0.2170806314316381,0.21772496007140668,0.217947983380893,0.7070554948008323,0.2158599707481606,0.15766182945557014,0.15829177186083923,0.1581297939692468
26900,"Indianapolis-Carmel-Anderson, IN",0.11,0.17012712568996538,0.16029739260557013,0.16121993578076294,0.5060465489900343,0.17391152962868944,0.1235603273281637,0.11709119257794857,0.11642116575983306
27140,"Jackson, MS",0.03,0.1431769138286975,0.09857750403054559,0.10692884924547588,0.565074884970718,0.10659126959831808,0.1039868643331439,0.07766053508522988,0.07159510052150383
27260,"Jacksonville, FL",0.16,0.2025428886208391,0.22219869418445298,0.22231238510076165,0.6006302553388859,0.23753013110644322,0.1471033235557615,0.16146155976451143,0.16137898805952103
28020,"Kalamazoo-Portage, MI",0.2,0.16308548160767158,0.23405574579920146,0.22268182923303348,0.43702869154281787,0.22790292747055643,0.1184461055707102,0.16172988051423223,0.16999055527858484
